지역,총의료기관수,인구수,면적_km2,고령인구비율,인구10k명당_의료기관수,면적1km2당_의료기관수,인구기준점수,면적기준점수,고령기준점수,실제취약지역,의료접근_최종점수,예측취약지역
서울특별시,10422.0,9726787,605.204048,15.3,10.714740643544472,17.220638286279275,0.6365036185776587,1.0,0.786624203821656,0,0.797,False
부산광역시,2856.0,3408347,771.309562,18.3,8.379428503025073,3.7027934576545545,0.4798026969082694,0.21454966914484092,0.6910828025477707,0,0.573,False
대구광역시,2188.0,2431523,1499.473159,15.7,8.998475441112422,1.4591791702754981,0.5213411379893516,0.08418513199602017,0.7738853503184713,0,0.613,False
인천광역시,1973.0,2950972,1066.0,13.1,6.685932635077527,1.8508442776735459,0.36616805306504363,0.10694271592232686,0.856687898089172,0,0.644,False
광주광역시,1188.0,1456096,500.9,13.5,8.15880271630442,2.371730884408066,0.46499856707769727,0.13720867642006057,0.8439490445859872,0,0.658,False
대전광역시,1215.0,1471650,539.77948,13.6,8.256039139741107,2.250919208710935,0.4715231925904884,0.13018895013599052,0.8407643312101911,0,0.656,False
울산광역시,707.0,1144098,1057.0,11.6,6.179540563832818,0.6688741721854304,0.33218882480116446,0.038264696446126144,0.9044585987261147,0,0.658,False
세종특별자치시,252.0,345216,464.962321,9.4,7.2997775305895445,0.5419794005200693,0.4073574337991281,0.030891513690152167,0.9745222929936306,0,0.715,False
경기도 의정부시,325.0,454222,81.548719,14.5,7.155091563156342,3.9853477036224194,0.39764891387323603,0.2309673991005833,0.8121019108280254,0,0.641,False
경기도 부천시,585.0,826845,53.45,12.7,7.07508662445803,10.944808231992516,0.39228053188497636,0.635344771668622,0.8694267515923567,0,0.746,False
경기도 광명시,242.0,315745,38.521193,13.2,7.664412738127287,6.2822561076963535,0.4318246868497481,0.3644285749607751,0.8535031847133758,0,0.697,False
경기도 평택시,353.0,520649,458.448425,12.1,6.779999577450451,0.7699884670778399,0.37248000439381984,0.04413991230962331,0.8885350318471338,0,0.655,False
경기도 동두천시,45.0,94191,95.673631,19.4,4.77752651527216,0.47034903483489615,0.238112795395509,0.026729452715198714,0.6560509554140128,1,0.476,True
경기도 과천시,54.0,59687,35.871399,13.9,9.047196206879219,1.505377585078296,0.5246103321872619,0.08686947707113175,0.8312101910828025,0,0.651,False
경기도 구리시,178.0,199018,33.338734,12.8,8.94391462078807,5.339134953354857,0.5176800724369057,0.3096288023560918,0.8662420382165604,0,0.711,False
경기도 남양주시,424.0,706069,458.129781,13.3,6.005078823741023,0.9255019376267094,0.3204823316972707,0.05317597600495356,0.8503184713375795,0,0.623,False
경기도 오산시,120.0,227550,42.691585,9.0,5.273566249176005,2.8108583928191,0.27139737527615965,0.16272404896218934,0.9872611464968153,0,0.722,False
경기도 시흥시,298.0,478464,139.93638,8.8,6.2282637774210805,2.1295391520060756,0.3354581832494433,0.12313619824345756,0.9936305732484076,0,0.731,False
경기도 군포시,153.0,275954,36.418523,12.3,5.544402327924219,4.201158844360602,0.28957064745883637,0.2435070408884585,0.8821656050955413,0,0.67,False
경기도 의왕시,74.0,164701,54.031241,13.0,4.492990327927577,1.369578018761405,0.21902023726095765,0.07897888388517336,0.8598726114649682,0,0.615,False
경기도 하남시,240.0,279621,92.985348,12.4,8.583046337721417,2.5810518018387154,0.49346558240080396,0.14937120572374515,0.8789808917197452,0,0.688,False
경기도 파주시,255.0,455262,673.955434,13.4,5.601170315115252,0.3783632969416788,0.2933798153040275,0.02138464892597412,0.8471337579617835,0,0.61,False
경기도 이천시,144.0,216844,461.464932,13.6,6.64071867333198,0.31204971388811836,0.3631341676349461,0.01753151801568912,0.8407643312101911,0,0.618,False
경기도 안성시,114.0,184211,553.508059,16.8,6.188555515142961,0.20595906084178622,0.3327937337358604,0.011367152349985645,0.7388535031847133,0,0.544,False
경기도 김포시,286.0,445425,276.59641,12.0,6.420834034910478,1.0339975128382903,0.3483797693240092,0.05948007895380558,0.89171974522293,0,0.656,False
경기도 화성시,519.0,831888,700.641505,8.6,6.238820610466794,0.7407497219280493,0.3361665534238069,0.04244100376740792,1.0,0,0.722,False
경기도 광주시,183.0,375561,430.988339,12.5,4.872710425203895,0.4246054555086234,0.2444996959539421,0.024071535719418585,0.8757961783439491,0,0.621,False
경기도 양주시,126.0,224524,310.487152,15.2,5.611872227467888,0.4058138933877689,0.2940979203916455,0.022979657622559855,0.7898089171974523,0,0.573,False
경기도 포천시,92.0,148144,827.16575,18.8,6.210173884868776,0.11122317383184688,0.33424434001767045,0.005862551968847508,0.6751592356687898,0,0.502,True
경기도 여주시,74.0,111198,608.207926,20.9,6.654795949567438,0.12166891754712186,0.364078761773955,0.006469498783314357,0.60828025477707,1,0.463,True
경기도 연천군,29.0,43618,677.938351,25.2,6.648631299004998,0.04277675094973348,0.3636651098221909,0.0018854930382133956,0.4713375796178343,1,0.373,True
경기도 가평군,50.0,62397,842.821967,24.9,8.013205763097584,0.05932450975141705,0.45522891943021326,0.002846995614287578,0.48089171974522305,1,0.395,True
경기도 양평군,77.0,117301,877.819527,24.5,6.564308914672509,0.08771734693935557,0.35800702450117566,0.004496752927373398,0.49363057324840764,1,0.387,True
충청북도 충주시,164.0,210188,983.257128,19.0,7.80253867965821,0.16679258693357776,0.4410930248885055,0.009091396097443864,0.6687898089171974,1,0.517,False
충청북도 제천시,107.0,133638,882.770986,20.8,8.006704679806642,0.1212092396521061,0.45479269262957944,0.006442789336704763,0.6114649681528662,0,0.481,True
충청북도 보은군,39.0,32699,584.262404,33.3,11.92697024373834,0.06675082930716864,0.7178449914628466,0.0032784996910135912,0.213375796178344,1,0.266,True
충청북도 옥천군,54.0,50778,537.283279,28.6,10.634526763559021,0.10050564034024219,0.6311212164968807,0.00523981289071381,0.36305732484076425,1,0.349,True
충청북도 영동군,54.0,47963,846.906529,30.2,11.258678564726976,0.06376146381084281,0.6730021971194003,0.003104803502907917,0.3121019108280254,1,0.323,True
충청북도 증평군,25.0,37320,81.802888,16.5,6.698821007502679,0.3056126820363604,0.3670328710064219,0.01715749620512785,0.7484076433121019,0,0.558,False
충청북도 진천군,56.0,81483,407.384402,16.1,6.872599192469594,0.13746230765114076,0.3786934971291006,0.007387168991827047,0.7611464968152866,1,0.566,False
충청북도 괴산군,41.0,37694,842.010689,32.6,10.877062662492703,0.04869296855208925,0.6473955287146765,0.002229253092578084,0.23566878980891715,1,0.268,True
충청북도 음성군,76.0,94461,520.122614,20.2,8.045648468680197,0.14611939176326605,0.45740584549420116,0.007890186275004542,0.6305732484076433,1,0.495,True
충청북도 단양군,29.0,29451,780.153233,29.3,9.846864283046415,0.03717218460850755,0.5782685658729383,0.0015598413871681113,0.340764331210191,1,0.325,True
충청남도 공주시,95.0,105743,864.163705,25.0,8.984046225282052,0.10993287435046811,0.520372928480929,0.005787579503384291,0.47770700636942676,1,0.405,True
충청남도 보령시,87.0,100646,586.861162,24.9,8.644158734574647,0.148246307020058,0.4975662628820851,0.008013770049883403,0.48089171974522305,1,0.403,True
충청남도 아산시,201.0,313757,542.798394,12.8,6.4062315741162745,0.37030323269526844,0.3473999349689393,0.020916321303537506,0.8662420382165604,0,0.632,False
충청남도 서산시,115.0,174645,742.278703,17.9,6.584786280740931,0.15492833020160085,0.35938106871591163,0.008402027008389903,0.7038216560509554,1,0.526,False
충청남도 논산시,118.0,118032,556.254933,25.4,9.997288870814693,0.21213295019893333,0.5883621508528821,0.011725884344598111,0.46496815286624216,0,0.409,True
충청남도 계룡시,27.0,42757,60.694409,11.2,6.314755478635077,0.4448515183663787,0.34126183110525943,0.025247927146583395,0.9171974522292994,0,0.665,False
충청남도 당진시,118.0,166136,705.62421,18.0,7.102614725285308,0.1672278222993511,0.39412768486148725,0.009116685318202089,0.7006369426751592,1,0.53,False
충청남도 금산군,54.0,51781,577.213108,30.0,10.428535563237482,0.09355296900152862,0.6172990766697868,0.004835830001980255,0.3184713375796179,1,0.317,True
충청남도 부여군,71.0,66214,624.654252,33.2,10.722807865406107,0.11366287794035539,0.637044934266939,0.006004310246406585,0.21656050955414008,1,0.254,True
충청남도 서천군,58.0,52374,366.124031,35.1,11.074197120708748,0.15841626085450808,0.6606233755447707,0.008604692175808056,0.1560509554140127,1,0.219,True
충청남도 청양군,32.0,31139,479.251284,34.1,10.276502135585599,0.06677081745700654,0.6070975375160924,0.003279661096481874,0.18789808917197448,1,0.23,True
충청남도 홍성군,76.0,99973,446.693932,23.0,7.6020525541896316,0.17013886815010507,0.42764027906590046,0.009285830766725622,0.5414012738853503,1,0.431,True
충청남도 예산군,71.0,78726,542.721278,30.1,9.018621548154357,0.1308222155240429,0.5226929545138952,0.007001348424698348,0.3152866242038216,1,0.299,True
충청남도 태안군,51.0,62283,516.049294,29.7,8.188430229757719,0.09882776818603689,0.4669865919692527,0.0051423206310111,0.3280254777070063,1,0.297,True
전라남도 목포시,153.0,228916,51.729837,15.8,6.683674360900942,2.95767411755038,0.3660165214394793,0.17125473273810718,0.7707006369426751,0,0.598,False
전라남도 여수시,215.0,281604,512.334189,18.5,7.6348347324611865,0.41964796536348264,0.42983998396202644,0.02378348223721952,0.6847133757961783,0,0.528,False
전라남도 순천시,197.0,281349,911.038484,15.2,7.001979747573298,0.21623674900653264,0.3873750142073009,0.011964334346951024,0.7898089171974523,0,0.587,False
전라남도 나주시,97.0,114380,608.493768,22.1,8.480503584542753,0.159410013875442,0.48658489880617345,0.008662433897878132,0.5700636942675159,1,0.46,True
전라남도 광양시,86.0,151751,464.863829,12.5,5.667178469993608,0.185000412239,0.29780900424526846,0.010149356341225699,0.8757961783439491,0,0.628,False
전라남도 담양군,48.0,46122,455.073505,30.2,10.407180954858852,0.10547746566788149,0.6158661689411968,0.005528699314404592,0.3121019108280254,1,0.313,True
전라남도 곡성군,37.0,28455,547.292831,35.0,13.00298717272887,0.06760548997580419,0.7900464079583651,0.00332815949355306,0.15923566878980888,1,0.243,True
전라남도 구례군,32.0,25895,442.96454,33.1,12.357597991890326,0.07224054548474693,0.7467403857277098,0.003597478007649474,0.21974522292993626,1,0.275,True
전라남도 고흥군,80.0,64407,807.174092,39.9,12.421010138649526,0.0991112088369655,0.7509953808822296,0.0051587898652619806,0.0031847133757961776,1,0.134,True
전라남도 보성군,48.0,41135,664.594629,37.3,11.668895101495076,0.07222447775755346,0.7005279861907018,0.0035965443971664275,0.08598726114649691,1,0.179,True
전라남도 화순군,62.0,62510,787.17015,26.0,9.918413053911372,0.0787631492378109,0.5830695336512145,0.0039764719479433155,0.445859872611465,0,0.395,True
전라남도 장흥군,46.0,38225,622.375633,33.1,12.034009156311315,0.07391034860775149,0.7250273701965707,0.003694501418707548,0.21974522292993626,1,0.271,True
전라남도 강진군,39.0,35054,500.897663,33.8,11.125691789810007,0.07786021553069214,0.6640787004108646,0.003924007254940261,0.19745222929936312,1,0.246,True
전라남도 해남군,76.0,69649,1045.132648,31.3,10.911858030983932,0.07271804219821865,0.6497303199478471,0.0036252228113762062,0.27707006369426734,1,0.296,True
전라남도 영암군,51.0,54229,612.430504,25.9,9.4045621346512,0.0832747547140467,0.5485898119679181,0.004238617434810683,0.44904458598726116,1,0.391,True
전라남도 무안군,72.0,81412,450.939983,20.8,8.843905075418856,0.15966648049481122,0.5109693686884952,0.008677335814092638,0.6114649681528662,1,0.492,True
전라남도 함평군,41.0,32519,392.097683,35.3,12.608013776561394,0.10456577984930351,0.7635434432623623,0.00547572608258278,0.14968152866242046,1,0.232,True
전라남도 영광군,57.0,53539,474.545557,28.3,10.646444647826817,0.12011491659587913,0.631920914069085,0.006379204022812434,0.3726114649681528,1,0.356,True
전라남도 장성군,39.0,45325,518.347005,28.7,8.604522890237176,0.0752391730323589,0.4949066726581226,0.0037717123644750395,0.3598726114649681,1,0.323,True
전라남도 완도군,53.0,50351,396.86813,31.5,10.526106730750133,0.13354561879282167,0.6238461637217945,0.007159590957116286,0.2707006369426752,1,0.287,True
전라남도 진도군,40.0,30511,440.110824,32.9,13.110025892301138,0.09088619915423848,0.7972287737416197,0.00468087813758001,0.22611464968152872,1,0.288,True
전라남도 신안군,53.0,39745,655.856943,35.1,13.335010693168952,0.0808103056095878,0.8123253961784599,0.004095421356662633,0.1560509554140127,1,0.245,True
경상북도 경주시,161.0,254225,1324.948414,21.5,6.332972760350083,0.12151416485260988,0.3424842222304207,0.0064605069242831175,0.589171974522293,0,0.447,True
경상북도 김천시,93.0,140418,1010.054406,22.2,6.6230825107892155,0.09207424812718455,0.36195076997378905,0.00474990936783179,0.5668789808917197,0,0.436,True
경상북도 안동시,123.0,159035,1522.271744,23.8,7.734146571509416,0.08080029106813666,0.43650387117501305,0.00409483946472676,0.5159235668789808,0,0.415,True
경상북도 구미시,252.0,418205,615.479866,9.0,6.025752920218554,0.40943662647772133,0.32186957664688604,0.023190155445265852,0.9872611464968153,0,0.707,False
경상북도 영주시,81.0,104418,670.166758,26.1,7.757283227029823,0.12086543988205396,0.4380563553939272,0.006422812953889393,0.4426751592356688,1,0.368,True
경상북도 영천시,85.0,101828,919.226367,27.2,8.347409356954865,0.09246906208468235,0.47765419195545716,0.004772849914751387,0.40764331210191074,1,0.351,True
경상북도 상주시,92.0,98644,1254.706162,29.9,9.326466891042537,0.07332394052592531,0.5433495717280197,0.003660428352495751,0.32165605095541405,1,0.306,True
경상북도 문경시,66.0,71382,912.05417,29.1,9.246028410523662,0.07236412284590509,0.5379520988093933,0.003604658433260097,0.34713375796178336,1,0.322,True
경상북도 경산시,192.0,263375,411.87844,16.1,7.28998576174656,0.4661569564068466,0.40670039991665613,0.026485873251902176,0.7611464968152866,0,0.575,False
경상북도 의성군,58.0,52236,1174.594308,40.0,11.103453556933916,0.04937875111855216,0.6625865009196192,0.0022691002834988126,0.0,1,0.116,True
경상북도 청송군,26.0,25291,846.133992,36.0,10.280336878731564,0.03072799372891758,0.6073548512065888,0.0011854036034357842,0.1273885350318471,1,0.19,True
경상북도 영양군,16.0,16844,815.865458,36.1,9.49893137022085,0.019611076609643646,0.5549220473613893,0.0005394584590638726,0.12420382165605093,1,0.178,True
경상북도 영덕군,42.0,36845,741.281609,36.2,11.399104356086308,0.056658629446720836,0.6824248565362553,0.0026920954364937095,0.12101910828025464,1,0.199,True
경상북도 청도군,39.0,42684,695.363051,36.4,9.136913129041327,0.05608581005837769,0.5306303944085872,0.002658811937252644,0.1146496815286625,1,0.168,True
경상북도 고령군,31.0,31910,384.244164,30.0,9.714822939517392,0.08067786814844115,0.569408508208501,0.004087726117592055,0.3184713375796179,1,0.309,True
경상북도 성주군,37.0,43627,616.151987,30.7,8.480986545029454,0.06005011877045201,0.48661730576029444,0.0028891569093237243,0.2961783439490445,1,0.28,True
경상북도 칠곡군,69.0,115780,451.047871,15.1,5.959578510969079,0.15297711049388812,0.3174292319321903,0.00828865197084333,0.7929936305732483,0,0.577,False
경상북도 예천군,47.0,55572,661.580584,29.8,8.45749658101202,0.07104198813670141,0.48504111431776886,0.0035278361914053823,0.3248407643312101,1,0.298,True
경상북도 봉화군,26.0,31889,1202.700459,35.1,8.153281695882592,0.021618017857595248,0.46462810311545216,0.0006560711800408471,0.1560509554140127,1,0.183,True
경상북도 울진군,43.0,48834,990.632985,27.2,8.805340541426055,0.04340659018132735,0.5083816640662435,0.0019220896583930708,0.40764331210191074,1,0.356,True
경상북도 울릉군,5.0,9269,73.033525,24.5,5.394325169921243,0.06846170987912743,0.279500375235887,0.003377909894957722,0.49363057324840764,1,0.373,True
경상남도 진주시,258.0,347578,712.939424,16.2,7.422794308040209,0.3618820776560113,0.415611937371841,0.020427012608577436,0.7579617834394905,0,0.573,False
경상남도 통영시,100.0,130221,239.914759,18.3,7.67925296227183,0.41681470709353063,0.43282047527600664,0.023618856612813804,0.6910828025477707,1,0.533,False
경상남도 사천시,70.0,111365,398.823815,21.1,6.285637318726709,0.1755160985058026,0.33930798415872526,0.009598273128323342,0.6019108280254777,1,0.455,True
경상남도 김해시,282.0,542929,463.545861,10.7,5.1940493139987,0.6083540459009729,0.26606173863281246,0.03474819260870494,0.9331210191082803,0,0.664,False
경상남도 밀양시,77.0,105201,798.694988,27.2,7.319322059676239,0.0964072657984427,0.4086688840623884,0.005001678063702907,0.40764331210191074,1,0.339,True
경상남도 거제시,135.0,247427,403.875203,10.1,5.45615474463175,0.3342616704299125,0.28364917880499274,0.018822137107406243,0.9522292993630573,1,0.677,False
경상남도 양산시,217.0,351383,485.703041,12.8,6.17559756732682,0.4467750491189533,0.33192424724174163,0.02535969332567287,0.8662420382165604,0,0.63,False
경상남도 의령군,33.0,26979,482.914212,35.8,12.231735794506838,0.06833511870220128,0.7382949526778304,0.003370554352483271,0.13375796178343957,1,0.217,True
경상남도 함안군,38.0,64959,416.612195,23.5,5.849843747594637,0.09121192431728985,0.31006595990461333,0.004699804300761348,0.5254777070063694,1,0.399,True
경상남도 창녕군,63.0,61889,532.666197,29.7,10.179514938034222,0.11827294533578221,0.6005896352178361,0.006272176833640592,0.3280254777070063,1,0.321,True
경상남도 고성군,47.0,51918,518.022863,29.9,9.052737008359337,0.09072958619588958,0.5249821234710293,0.004671778188474893,0.32165605095541405,1,0.303,True
경상남도 남해군,46.0,43223,357.780917,36.8,10.642482011891817,0.12857030046686363,0.6316550186915546,0.006870501573802876,0.1019108280254778,1,0.178,True
경상남도 하동군,51.0,45753,675.30116,32.6,11.146810045242935,0.07552186049850707,0.6654957487073091,0.003788137835149514,0.23566878980891715,1,0.271,True
경상남도 산청군,39.0,35223,794.712475,35.3,11.072310706072736,0.04907435233101128,0.6604967959295729,0.0022514132829882278,0.14968152866242046,1,0.214,True
경상남도 함양군,42.0,39377,724.725423,32.5,10.666124895243415,0.05795298283609405,0.6332414711181211,0.0027673034530685025,0.23885350318471343,1,0.268,True
경상남도 거창군,63.0,61700,803.956583,26.8,10.21069692058347,0.07836244062448332,0.6026819659689019,0.0039531888938097014,0.42038216560509545,1,0.381,True
경상남도 합천군,50.0,44702,983.118402,38.3,11.185181871057225,0.05085857400114051,0.6680705224888984,0.0023550849495067227,0.05414012738853513,1,0.152,True
제주특별자치도 제주시,421.0,489466,978.767273,13.7,8.60121029857028,0.4301328943187907,0.49468439566212263,0.024392705898338984,0.8375796178343949,0,0.64,False
제주특별자치도 서귀포시,157.0,181129,871.506292,18.6,8.667855506296618,0.18014786748091544,0.499156331252387,0.009867400679354505,0.681528662420382,1,0.536,False
강원도 춘천시,213.0,281492,1116.41579,17.0,7.566822502948574,0.1907891324252947,0.4252763203452878,0.01048570819636204,0.7324840764331211,0,0.556,False
강원도 원주시,266.0,351421,868.285193,14.4,7.569268768798677,0.3063509572021459,0.4254404663310464,0.017200393462832753,0.8152866242038216,0,0.612,False
강원도 강릉시,146.0,213037,1040.827452,20.3,6.853269619831297,0.14027301040095932,0.3773964705794836,0.0075504840344813055,0.6273885350318471,0,0.478,True
강원도 동해시,53.0,90233,180.30772,19.3,5.873682577327585,0.29394193437751864,0.3116655604573008,0.016479370902893788,0.6592356687898089,1,0.489,True
강원도 태백시,26.0,43251,303.43843,23.7,6.011421701232341,0.08568459835492821,0.32090794278868756,0.004378640678828949,0.5191082802547771,1,0.397,True
강원도 속초시,69.0,81713,105.753668,18.2,8.444188807166547,0.6524596385630803,0.48414815427582364,0.03731093487925219,0.694267515923567,1,0.546,False
강원도 삼척시,40.0,65887,1187.836731,24.0,6.07100034908252,0.03367466164000951,0.32490570774179683,0.0013566188611214213,0.5095541401273884,1,0.391,True
강원도 홍천군,59.0,68688,1820.572725,25.0,8.589564407174471,0.03240738433011513,0.49390294898365894,0.0012829840920468418,0.47770700636942676,1,0.4,True
강원도 횡성군,30.0,46232,998.002198,28.1,6.489011939781969,0.030060054036073376,0.35295454986211516,0.0011465931673502305,0.37898089171974525,1,0.31,True
강원도 영월군,25.0,38762,1127.407716,28.3,6.449615602910066,0.022174763969772228,0.3503110307405763,0.0006884207463774671,0.3726114649681528,1,0.306,True
강원도 평창군,35.0,41758,1464.25765,26.8,8.381627472580105,0.023902897143818918,0.4799502491562184,0.0007888334076060134,0.42038216560509545,1,0.359,True
강원도 정선군,29.0,37036,1219.781217,26.5,7.830219246138892,0.023774755337948445,0.4429504084067914,0.0007813877663005139,0.4299363057324841,1,0.359,True
강원도 철원군,30.0,45093,890.129729,21.7,6.652917304237908,0.03370295252772082,0.36395270348413605,0.0013582626946906586,0.5828025477707006,1,0.446,True
강원도 화천군,20.0,24627,909.094534,21.6,8.121167823933082,0.021999912277549785,0.4624732419962264,0.0006782610410954622,0.5859872611464967,1,0.465,True
강원도 양구군,16.0,22375,661.991731,20.1,7.150837988826816,0.024169486189548794,0.39736349634541995,0.0008043234843767937,0.6337579617834395,1,0.485,True
강원도 인제군,17.0,31506,1646.19757,19.7,5.395797625849045,0.010326828510626461,0.27959917795994293,0.0,0.6464968152866242,1,0.473,True
강원도 고성군,19.0,26959,660.766517,28.3,7.047739159464372,0.028754483635556247,0.3904454996871502,0.0010707333896976998,0.3726114649681528,1,0.313,True
강원도 양양군,17.0,27710,629.777062,28.8,6.134969325153374,0.026993679233112494,0.3291980664953126,0.0009684223765144414,0.3566878980891719,1,0.291,True
전라북도 군산시,208.0,268667,398.018932,17.9,7.741925878503873,0.52258820693484,0.43702586759460493,0.029764794186393488,0.7038216560509554,0,0.543,False
전라북도 익산시,224.0,285255,506.591806,18.7,7.85262309161978,0.4421705944450274,0.44445372060856536,0.02509215286394302,0.678343949044586,0,0.527,False
전라북도 정읍시,122.0,109763,693.295824,26.8,11.11485655457668,0.17597105849580308,0.6633516492736279,0.009624708442473052,0.42038216560509545,1,0.393,True
전라북도 남원시,100.0,81170,752.09275,27.1,12.319822594554639,0.13296232412824083,0.7442056326742645,0.00712569879508237,0.410828025477707,1,0.4,True
전라북도 김제시,95.0,83391,545.983699,30.7,11.392116655274549,0.1739978687532208,0.6819559773921984,0.009510056842621175,0.2961783439490445,0,0.315,True
전라북도 완주군,83.0,91976,821.38018,22.3,9.02409324171523,0.10104943121466603,0.5230601086125719,0.005271409696835431,0.5636942675159236,0,0.462,True
전라북도 진안군,35.0,25548,789.137228,33.7,13.699702520745264,0.04435223527434445,0.8367964484694791,0.001977036083699641,0.2006369426751592,1,0.278,True
전라북도 무주군,24.0,24127,632.062894,32.6,9.947361876735608,0.037970904838466914,0.5850120179723008,0.0016062507872489464,0.23566878980891715,1,0.257,True
전라북도 장수군,23.0,22277,533.184425,32.7,10.32454998428873,0.043137043997487357,0.6103215785534235,0.0019064277579968218,0.23248407643312097,1,0.259,True
전라북도 임실군,45.0,27895,597.16664,34.6,16.131923283742605,0.07535585042057942,1.0,0.0037784918692217624,0.1719745222929936,1,0.288,True
전라북도 순창군,44.0,28124,495.930528,32.9,15.645000711136396,0.08872210423795487,0.9673271874088519,0.004555134049706066,0.22611464968152872,1,0.318,True
전라북도 고창군,68.0,55021,607.482137,33.1,12.358917504225658,0.11193744780021408,0.7468289258399772,0.005904054644154688,0.21974522292993626,1,0.275,True
전라북도 부안군,53.0,52692,495.002216,32.1,10.058452896075304,0.10707022774217237,0.5924662956329524,0.005621246278368566,0.25159235668789803,1,0.269,True
경기도 수원시,162.0,1192622,33.333333,10.4,1.3583515984108965,4.8600000486,0.008683995910977231,0.28178881201480266,0.9426751592356688,0,0.668,False
경기도 성남시,255.0,941527,46.0,13.4,2.708366302825092,5.543478260869565,0.09927083643580831,0.3215021091243124,0.8471337579617835,0,0.627,False
경기도 안산시,138.0,653575,57.99,10.3,2.1114638717821217,2.379720641489912,0.05921830578338369,0.13767291886572763,0.945859872611465,0,0.654,False
경기도 고양시,310.0,1074853,165.55,12.8,2.884115316233941,1.8725460585925702,0.1110637063934523,0.10820369141206608,0.8662420382165604,0,0.606,False
경기도 용인시,133.0,1068519,467.6,12.7,1.2447134772521593,0.28443113772455086,0.0010588061072744433,0.015926748907858675,0.8694267515923567,0,0.573,False
경기도 안양시,140.0,561069,58.46,12.8,2.4952367712349104,2.3947998631542937,0.0849697100657297,0.13854909253064845,0.8662420382165604,0,0.606,False
충청북도 청주시,156.0,840938,403.76,12.7,1.855071360789975,0.3863681394888052,0.04201420613242112,0.021849767908089523,0.8694267515923567,0,0.581,False
충청남도 천안시,162.0,654251,438.39,10.4,2.4761139073536,0.3695339765961815,0.08368655380444588,0.020871623907968893,0.9426751592356688,0,0.636,False
경상북도 포항시,134.0,505209,393.93,16.3,2.652367633989101,0.3401619577082223,0.09551329033881975,0.019164971535056672,0.7547770700636942,0,0.515,True
경상남도 창원시,128.0,1041553,211.22,13.5,1.2289341012891326,0.606003219392103,0.0,0.034611598537491385,0.8439490445859872,0,0.559,False
전라북도 전주시,326.0,655713,94.65,14.3,4.971687308319341,3.444268357105124,0.2511411074119857,0.19952814549700865,0.8184713375796178,0,0.614,False
